srno,freedomFighter,countriesVisited,booksPublished,sportsInterests,socialActivities,otherInformation
2523,No,"Israel, France, Nepal, Myanmar, China, Japan and Indonesia",,,"Campaigned in support of swadeshi, indigenous products, cottage industries, pure khadi, saving native seeds rights of working class, human rights, democrative socialism and social justice; campaign against patenting of life forms and MNCs producing consumer goods; writing articles","Organising Secretary, Karnataka Pradesh Janata Party and Karnataka Pradesh Janata Dal, 1987-1994; Member, National Executive and National Returning Officer, Samata Party, 1994 - 2002; National General Secretary, JD(U), 2002 - 2005; National Returning Officer, JD(U), 2005-2006 and 2016 - 2022; Member, National Executive, JD(U), 2006-2016"
2524,No,"Italy, China and Indonesia",,"National President, Suman Shotokan Karate Sports Academy (KAI); President, Khammam District Judo Association (Olympics)","Strongly believes in ‘service to humanity’; constructed schools, temples, roads and made provision for pure drinking water and electricity at his native place Inugurthy village, Telangana; has contributed generously for remodeling and making various provisions for the most famous “Medaram” Adivasi Kumbha Mela festival of Sammakka Sarakka Jatara, a festival to honour the Hindu Tribal goddesses; has been a permanent donor of the every Kumbha Mela held biennially; Lifetime Board Member, Sammakka Sarakka Jatara Committee; has constructed marriage halls, temples, churches, masjids and dargahs; has extended financial help for blood transfusion of children suffering from thalassemia in Khammam district; has organized blood donation camps and inspired his followers to serve the poor; has contributed a 30 feet tall single black granite stone for the National Police Memorial in Delhi; has provided granite for the statue of Subhas Chandra Bose installed beneath a canopy behind India Gate in New Delhi","Runs granite export business at national and international level; Chief Promoter, Gayatri, Group; Managing Director, Gayatri Granites; entered politics in 2018 as Congress party candidate from Warangal East Assembly Constituency; joined T.R.S.(now B.R.S.) in the year 2019"
2525,No,,,Football,Social and cultural activities,"General Secretary, (i) Odisha Adivasi Kalyan Mahasangha, (ii) Zilla Adivasi Kalyan Sangha, Bolangir and (iii) Co-ordination Committee of Trade Union and Association; Secretary General, Paschim Odisha Adivasi Kalyan Mahasangha; President, (i) Paschim Odisha Kendupatra Karmachari Sangha and (ii) WESCO Utility SC/STs Employees Welfare Association; Working President, (i) Paschimanchal Bijuli Karmachari Sangha and (ii) Paschimanchal Milit Sramik Karmachari Mancha; State Vice President, All India Federation of SC/ST Employees Welfare Association; Chief Advisor, State Primary Teachers Union, Odisha"
2526,No,Widely travelled,,,"Avid film lover; produced films; co-writer of the screen play for the movies “The Ghazi Attack” and “Ghazi” which won a National Award; Founder Trustee of Art Telangana, a trust for the promotion of local artists",
2527,No,"U.S.A., Kenya, Mexico, Mauritius and Japan",,"Encourages and supports sports and games in Andhra Pradesh and Tamil Nadu; Member, (i) Andhra Club, Chennai, (ii) Gandhi Nagar Club, Chennai, (iii) Cosmopolitan Club, Chennai, (iv) Nellore Club, Nellore and (v) Constitution Club, New Delhi","Dedicated social worker and visionary leader; founded the BMR Trust with the mission of uplifting communities and addressing critical societal needs like health, education, empowerment of women, skill development, strengthening social welfare hostels, support to housing, supply of safe drinking water, sports, and entrepreneurship development trainings, etc. in the rural and urban areas, thereby serving a population of more than 8 lakhs; the BMR Group has provided employment to 6000 youths, paving the way for improving their standard of living","A versatile personality having interest and shouldering responsibilities in several spheres, such as business, politics, social service, spirituality and philanthropy, etc.; Chairman, BMR Group of industries; fondly known as ‘Father of Vannamei’ for introduction of Litopenaeus vennamei in India; a well-known name in the aqua community; with a modest beginning in sea food industries with shrimp farming at Iskapalli in 1991, started BMR Group, which has been working in all wings of aqua culture viz. Broodstock Multiplication Centre, hatcheries, farming, feed industry, processing plant and exports, etc.; expanded his group into 400 hectares farming, 12 hatcheries, shrimp process unit, a feed plant, broodstock multiplication centre, etc.; the group is one of the largest seed supplier, with 6.5 billion annual seed production; introduced Shrimp L-Vannamei exotic species in India; as a result India is now the second largest exporter of shrimp in the world market with an annual export value of Rs. 30420 crore; the Group has been awarded ‘Best Hatchery in India’ award, by MPEDA, in 2015; awarded, (i) Honorary Doctorate Degree by the International University of Contemporary Studies, Washington DC, U.S.A. in recognition of his vision, innovative thinking and unrelenting efforts, 1998, (ii)‘Indian of the year 2017 - Aqua Culture’ by Shri Suresh Prabhu, the then Hon’ble Union Minister of Railways, (iii) Lifetime Achievement award, by India International Aquaculture Expo, Chennai, 2022 and (iv) ‘Best Hatchery Award’, 2024, by Government of Andhra Pradesh; instrumental in formulating policies that had greatly supported the aqua farmers and industry; the suggestions impacted the formulation of pro-aqua policies like subsidized power, grants-in-aid to new industries, subsidized supply of fishing nets and boats to fishermen, subsidies for setting up of cold storages, reefer containers, etc.; President, Shrimp Feed Manufacturers Association(SFMA) since 2021"
2528,No,,Wrote more than 300 articles in various leading dailies,,"Mass leader, outstanding orator; his efforts have lead to the upliftment of the Backward Classes in Andhra Pradesh; has led three pro-reservation movements in the state that lead to the implementation of recommendations of the Muralidhar Rao Commission Report, (1986) and the Mandal Commission Report, (1990); Editor, BC Garjana, a monthly magazine with a circulation of 40,000 copies, which covers various issues pertaining to social evils; was Editor, ""Voice of weaker section"", a leading Telugu monthly magazine, 1982-1992 with a circulation of 30,000 copies; organized public meetings for the welfare of the backward class people; helped in introducing ‘Full Fees Reimbursement Schemes’, in 2008, benefitting 30 lakh college and university students; helped in providing ‘full mess charges scheme and scholarships’ to the backward class University students, 1976; made efforts to increase the number of SC/ST/BC hostels from 600 to 6000 benefitting around 8 lakh students at school and college levels; strived for the sanctioning of 1500 SC/ST/BC/Minority welfare residential schools; fought against corruption in the recruitment process of Andhra Pradesh Public Service Commission; Awards, (i) National Ambedkar Award, 2003, by National SC Welfare Organization, (ii) National Mahatma Jyothi Rao Pule Award, 2011","Was the Chief Minister candidate for TDP and BJP alliance during the 2014 elections, in Telangana, 2014; Founder President, BC Student Association (founded in 1978); President, (i) National Backward Classes Welfare Association, (ii) 140 Unions of OBC employers of Central and State Government Departments, (iii) Social Welfare Hostel (SC, ST and OBC) Students' Union, 1976-2004; In-Charge, RSS, 1970-79; Former President, (i) Andhra Pradesh Social Welfare Hostel Students Union from 1976- 2004, (ii) Andhra Pradesh State Unemployees Struggle Committee, (iii) Andhra Pradesh Class IV Employees Central Association, (iv) Andhra Pradesh State Sama Sangram Parishad, a pro-reservation organization, Pro-Mandal agitation A.P. State Reservation Protection Committee; Chairman, (i) Andhra Pradesh Social Welfare Hostel Students Joint Action Committee, 1978, (ii) State Joint Action Committee formed with the state organization of PDSU, RSU, AISF, SFI, DSO, 1979, 1980-84, (iii) Joint Committee for Pro-reservation Organisation, 2006, (iv) State Joint Action Committee formed against levying capitation fees and donations in private colleges, 1992; was State Leader, ABVP, 1972-78; was President, Students Union, Osmania University and P.G College of Law, 1980-82; organised around 12 thousand public meetings, dharnas, rallies, party meetings, etc. 1973-2022; addressed more than 6 thousand public meetings in all parts of the state; made efforts to achieve 34 reservation for the BCs in Zilla parishads, mandal parishads, gram panchayats, municipalities, local body elections, 1986; under his leadership the BC Welfare Association has organized agitations in the state and introduced all the existing schemes meant for Backward Classes and Scheduled Castes students such as hostels, scholarships, exemption from tuition fees, reservations, self employment, student loans, residential schools, etc.; associated with the National Backward Classes Welfare Association; was Chief Guest, at several meetings of students' unions of Junior/Degree /University colleges; organized meetings, seminars, public meetings against caste system and untouchability; fought against the practice of capitation fees, donations in private engineering colleges; excelled in academics and had been recipient of several Gold medals at University level; during school/ college/ University days, was awarded first prize more than 400 times for elocution competition, essay writing, quiz competitions; received opportunities to pursue a career in the State/Central Government, instead dedicated his life for the upliftment of the weaker sections of the society; committed with a vision to give education to all belonging to the oppressed sections of the society; as Chief Guest, addressed hundreds of meetings of the Jana Sangh in Andhra Pradesh, 1975-78"
2529,No,"U.S.A., U.K. and U.A.E., etc.",,,,
2530,No,Travelled extensively across the globe,Presented many papers pertaining to Chemistry and Pharmaceuticals,"Spends his leisure time by engaging himself in spiritual, devotional and social service activities","Renowned and Reputed scientist; Founder Chairman, HETERO group; Member, TTD Trust Board; Co-Chairman, Lead India Foundation; Founder, (i) Sri Krishna Sindhuri Charitable Trust and (ii) Sai Spoorthi Charitable Trust",Avid philanthropist and well known for his largesse: conceptualized and implemented many charity programs especially in the field of health and education
2531,No,,,Tennis and swimming,"Welfare activities for old people in villages of Bihar by opening helpage units; viewing snow-covered peaks of Himalayas, river rafting, para gliding and snow skating",
2532,No,,,,"Instrumental in making 312 Gram Panchayats of 4 District Panchayats of Indore district open defecation free in a time bound programme; Indore district was declared first open defecation free district in the State and second in the country under the Swachh Bharat Mission; involved in water conservation and development campaign in Indore district (rural); 243 large and small ponds of the district were deepened with the cooperation of people by devising a strategy for harvesting of rain water for water conservation and development; large number of peoples' representatives, local farmers, intellectuals and voluntary organizations participated in this campaign; as a result of this campaign, about 29.75 lakh cubic meter (8.5 lakh trolley soil) was dug up from 243 ponds which benefitted about 21 farmers; farmers were motivated to use the dug up soil of the ponds and drains in their fields; involved in the work of establishing libraries in 50 Government High Schools and Higher Secondary Schools with a collection of qualitative and informative books for the rural students; involved in creating awareness in the patidar majority districts of Madhya Pradesh by organizing small conferences for adopting the public welfare scheme, the ""Beti Bachao Abhiyan"" of Government of Madhya Pradesh on priority basis; around 10,000 women of the Patidar samaj took pledge under the Beti Bachao Abhiyan on 6 December, 2011 at the Umiyadham Complex, Rau, district Indore; formed women's organizations at the village level in 27 districts, organized, (i) women's conferences on a large scale, (ii) familiarization conferences, (iii) multi-purpose programs at Keshod (Sidsar, Jamjodhpur, Ahmedabad, Unjha) of Gujarat, Jalgaon (Maharashtra), Jhalawar, (Rajasthan), etc. for the cause of social upliftment and creating awareness among the Patidar samaj; was State President, Patidar Samaj (M.P.); Trustee, Shree Umiya Mataji Sansthan, Unjha (Gujarat)","President, B.J.P. Mandal, 2006-08; District Vice-President, B.J.P., Indore, 2009-2012; State Secretary, B.J.P. (Madhya Pradesh), 2016-2020, General Secretary, B.J.P. (Madhya Pradesh) since 2020; State Incharge, (i) Bharatiya Janata Yuva Morcha, B.J.P. (Madhya Pradesh) since 2020, (ii) Bharatiya Janata Mahila Morcha, B.J.P. (Madhya Pradesh) since 2020 and (iii) Jabalpur Sambhag, B.J.P. (Madhya Pradesh) since 2021; was conferred (i) Best Zila Adhyaksh Award and (ii) Panchayat Sashktikaran Award (2016)"
